   EL00001,   A(1500D/2)+N66(1260D/1),    C51,      20.32 EPI
   EL50001,   A(1500D/1)+N66(1260D/1),    C51,      26.70 EPI
   ES00001,              1x2(0.30)SHT,    C54,      19.00 EPI
   ES00002,              1x2(0.30)SHT,    C54,      24.00 EPI
   ES00003,              2+2(0.32)SHT,    C54,      17.00 EPI
   ES00004,              2+2(0.32)SHT,    C54,      15.00 EPI
   ES00005,         3(0.20)+6(0.35)HT,    C81,      13.00 EPI
   ES00006,              1x2(0.30)SHT,    C54,      19.00 EPI
   ES00007,          3/8+13(0.22)+wHT,    C81,      10.75 EPI
   ES00009,              3/8(0.20)SHT,    C53,      17.00 EPI
   ES00010,              3/8(0.23)SHT,    C53,      14.20 EPI
   ES00012,              3/8(0.32)SHT,    C81,      10.00 EPI
   ES00013,        2(0.25)/5(0.35)SHT,    C81,      12.00 EPI
   ES00014,        2(0.25)/5(0.35)SHT,    C81,      10.00 EPI
   ES00016,             3+9(0.22)+wNT,    C81,      16.00 EPI
   ES00017,          3/8+13(0.18)+wHT,    C53,      14.20 EPI
   ES00020,            1x5(0.38)NT&HE,    C83,       1.00 EPI
   ES00021,              3/8(0.32)SHT,    C81,      10.00 EPI
   ES00025,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES00026,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES00029,             3+9(0.22)+wNT,    C53,      16.00 EPI
   ES00030,          3+9+15(0.22)+wNT,    C53,      13.00 EPI
   ES00031,              1x2(0.30)SHT,    C54,      24.00 EPI
   ES00033,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES00035,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES00039,         3(0.20)+6(0.35)HT,    C81,      16.00 EPI
   ES00040,          3/8+13(0.18)+wHT,    C81,      15.50 EPI
   ES00041,          3+9+15(0.22)+wNT,    C81,      12.00 EPI
   ES00044,              3/8(0.23)SHT,    C53,      20.00 EPI
   ES00045,              3/8(0.23)SHT,    C53,      20.00 EPI
   ES00048,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES00049,            1x5(0.38)NT&HE,    C83,       7.00 EPI
   ES00050,               2+2(0.35)HT, Z54_LAB,      17.00 EPI
   ES00052,     1(0.22)+6+11(0.20)SHT,    C53,      15.30 EPI
   ES00053,     1(0.20)+6+11(0.18)SHT,    C53,      15.00 EPI
   ES00054,     1(0.22)+6+11(0.20)SHT,    C53,      18.50 EPI
   ES00055,     1(0.20)+6+11(0.18)SHT,    C53,      17.60 EPI
   ES00057,     1(0.24)+6+11(0.22)SHT,    C53,      17.50 EPI
   ES00058,     1(0.25)+6+12(0.225)HT,    C53,      17.50 EPI
   ES00059,            1x5(0.35)HT&HI,    C81,      12.00 EPI
   ES00060,            3+9(0.175)+wNT,    C53,      20.00 EPI
   ES00061,              1+6(0.34)SHT,    C81,      12.00 EPI
   ES00062,              1+6(0.34)SHT,    C81,      10.00 EPI
   ES00063,     1(0.18)+6+11(0.16)SHT,    C53,      15.50 EPI
   ES00064,     1(0.18)+6+11(0.16)SHT,    C53,      18.40 EPI
   ES00069,     1(0.25)+6+12(0.225)HT,    C53,      16.00 EPI
   ES00075,             3+9(0.22)+wNT,    C53,      17.50 EPI
   ES00076,             3+9(0.22)+wNT,    C53,      18.50 EPI
   ES00087,          3/8+13(0.22)+wHT,    C81,      10.75 EPI
   ES00088,          3/8+13(0.22)+wHT,    C81,      10.00 EPI
   ES00089,          3+9+15(0.22)+wNT,    C81,      11.00 EPI
   ES00090,          3+9+15(0.22)+wNT,    C81,      10.00 EPI
   ES00091,        2(0.25)/5(0.35)SHT,    C81,      12.00 EPI
   ES00095,            3+9(0.175)+wNT,    C53,      19.10 EPI
   ES00098,        2(0.25)/5(0.35)SHT,    C81,      10.00 EPI
   ES00099,               1x3(0.33)UT,    C54,      15.00 EPI
   ES00100,               1x3(0.33)UT,    C54,      19.00 EPI
   ES00101,              3+8(0.33)SHT,    C81,      10.00 EPI
   ES00102,      1(0.20)+6+11(0.18)HT,    C53,      17.50 EPI
   ES00106,          Monowire(0.35UT),    C54,      24.00 EPI
   ES00108,               3+8(0.22)HT,    C53,      17.00 EPI
   ES00109,               3+8(0.22)HT,    C53,      13.00 EPI
   ES00114,        2(0.25)/5(0.35)SHT,    C81,      10.00 EPI
   ES00115,        2(0.25)/5(0.35)SHT,    C81,      12.00 EPI
   ES00116,              2+2(0.32)SHT,    C54,      17.00 EPI
   ES00117,            3+9(0.175)+wNT,    C53,      17.00 EPI
   ES00121,               3+8(0.22)HT,    C53,      11.00 EPI
   ES00123,      1(0.22)+6+11(0.20)HT,    C53,      15.20 EPI
   ES00126,               3+8(0.22)HT,    C53,      14.40 EPI
   ES00127,      1(0.20)+6+11(0.18)HT,    C53,      14.80 EPI
   ES00324,          3+9+15(0.22)+wNT,    C81,      10.00 EPI
   ES10113,             3+9(0.22)+wNT,    C53,      11.20 EPI
   ES10115,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES10116,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES10121,               2+2(0.35)HT,    C57,      17.00 EPI
   ES10206,             3+9(0.22)+wNT,    C53,      15.00 EPI
   ES10207,             3+9(0.22)+wNT,    C53,      15.00 EPI
   ES10208,         3(0.20)+6(0.35)HT,    C81,      13.00 EPI
   ES10209,         3(0.20)+6(0.35)HT,    C81,       8.00 EPI
   ES10221,               2+2(0.35)HT,    C54,      17.00 EPI
   ES10230,            3+9(0.175)+wNT,    C53,      17.00 EPI
   ES10239,            1x5(0.38)NT&HE,    C81,      12.00 EPI
   ES10259,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES10262,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES11003,        2(0.25)/5(0.35)SHT,    C81,      12.00 EPI
   ES11004,        2(0.25)/5(0.35)SHT,    C81,      10.00 EPI
   ES19999,            1x5(0.38)NT&HE,    C81,      13.00 EPI
   ES20115,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES20116,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES20120,            3x7(0.22)NT&HE,    C81,      10.75 EPI
   ES20121,               2+2(0.35)HT,    C54,      17.00 EPI
   ES20208,         3(0.20)+6(0.35)HT,    C81,      13.00 EPI
   ES20216,         3(0.20)+6(0.35)HT,    C81,       8.00 EPI
   ES20231,             3+9(0.22)+wNT,    C53,      13.00 EPI
   ES20234,             3+9(0.22)+wNT,    C53,      16.00 EPI
   ES20240,               2+2(0.35)HT,    C54,      15.00 EPI
   ES20259,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES20262,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES20269,          3/8+13(0.22)+wHT,    C53,      10.75 EPI
   ES20282,          3/8+13(0.18)+wHT,    C53,      14.20 EPI
   ES20293,             3+9(0.22)+wNT,    C53,      16.00 EPI
   ES20300,               2+2(0.35)HT,    C54,      15.00 EPI
   ES20301,          3/8+13(0.22)+wHT,    C81,      10.75 EPI
ES20302-DP,          3/8+13(0.18)+wHT,    C53,      12.20 EPI
ES20302-JP,               2+2(0.35)HT,    C54,      15.00 EPI
   ES20306,          3/8+13(0.18)+wHT,    C53,      15.50 EPI
   ES20311,          3+9+15(0.22)+wNT,    C53,      13.00 EPI
   ES20316,          3+9+15(0.22)+wNT,    C81,      11.00 EPI
   ES20322,         3(0.20)+6(0.35)HT,    C81,      10.00 EPI
   ES20324,          3+9+15(0.22)+wNT,    C81,      10.00 EPI
   ES20343,          3/8+13(0.22)+wHT,    C81,      10.75 EPI
   ES20400,          3/8+13(0.22)+wHT,    C81,      10.75 EPI
   ES20413,              1x2(0.30)SHT,    C54,      19.00 EPI
   ES20414,              1x2(0.30)SHT,    C54,      24.00 EPI
   ES20424,              1x2(0.30)SHT,    C54,      19.00 EPI
   ES20425,              1x2(0.30)SHT,    C54,      24.00 EPI
   ES20427,              2+2(0.32)SHT,    C54,      17.00 EPI
   ES20428,              2+2(0.32)SHT,    C54,      15.00 EPI
   ES21003,        2(0.25)/5(0.35)SHT,    C81,      12.00 EPI
   ES21004,        2(0.25)/5(0.35)SHT,    C81,      10.00 EPI
   ES21005,          3/8+13(0.22)+wHT,    C53,      12.00 EPI
   ES21006,          3/8+13(0.22)+wHT,    C53,      12.00 EPI
   ES30259,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES30262,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES30413,              1x2(0.30)SHT,    C54,      19.00 EPI
   ES30414,              1x2(0.30)SHT,    C54,      24.00 EPI
   ES30428,              2+2(0.32)SHT,    C54,      15.00 EPI
   ES40157,     1(0.24)+6+11(0.22)SHT,    C53,      17.50 EPI
   ES40158,     1(0.24)+6+11(0.22)SHT,    C53,      17.50 EPI
   ES40159,     1(0.24)+6+11(0.22)SHT,    C53,      16.00 EPI
   ES40259,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES40262,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES40282,          3/8+13(0.18)+wHT,    C53,      14.20 EPI
   ES40413,              1x2(0.30)SHT,    C54,      19.00 EPI
   ES40414,              1x2(0.30)SHT,    C54,      24.00 EPI
   ES40427,              2+2(0.32)SHT,    C54,      17.00 EPI
   ES41001,          3/8+13(0.22)+wHT,    C81,      10.00 EPI
   ES41002,          3/8+13(0.22)+wHT,    C53,      13.00 EPI
   ES50259,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES50259,            1x3(0.30)HT&OC,    C54,      15.00 EPI
   ES50262,            1x3(0.30)HT&OC,    C54,      19.00 EPI
   ES50413,              1x2(0.30)SHT,    C54,      19.00 EPI
   ES50414,              1x2(0.30)SHT,    C54,      24.00 EPI
   ES50427,              2+2(0.32)SHT,    C54,      17.00 EPI
